Unemp_Rate,Per_Cap_Pers_Income,DATE,Housing_Price_Index,Median_Income,Rental_Vac_Rate,Consumption_HH,Income_Ineq_SL,Active_List_UT_County,Med_Price_Per_SQF,SNAP,Med_Days_Mkt,Active_List_SL,Housing_Auth,Educ_Attain,Net_Mig_Flow_UT_County,Percent_Single,Med_Income_SL,GDP,Population,,136.5
5.4,52477,7/1/20,544.73,,5.3,121445.4,,-49.85,2.21,,,1564,2446.7021,,,,79294,199793,3309.8295,,
3.8,52613.5,10/1/20,563.78,,5.3,121445.4,,-69.12,2.79,,,1308,2760.372636,,,,79294,201984.9,3323.90225,,
3.1,52750,1/1/21,586.35,,4.4,121445.4,,-75.88,0.53,,,587,3321.69047,,,,,206417.4,3337.975,,
2.8,52886.5,4/1/21,643.27,,4.4,,,-75.78,1.97,,,628,3895.142475,,,,,212854.5,,,
2.6,53023,7/1/21,692.4,,4.4,,,-30.7,-0.92,,,1037,3724.416734,,,,,217702.2,,,
2.2,53159.5,10/1/21,718.05,,4.4,,,20.29,2.29,,,1230,2223.051694,,,,,,,,
,,7/1/75,55.17,,,,,,,,,,,,,,,,,,
,,10/1/75,59.81,,,,,,,,,,,,,,,,,,
,5341,1/1/75,55.09,,,,,,,,,,,,,,,,1236.03,,
,,4/1/75,57.57,,,,,,,,,,,,,,,,,,
